relation,head,tail
hasprerequisite,exercise,run
hassubevent,exercise,lose weight
isa,mammal,person
atlocation,food,restur
atlocation,food,cupboard
hasproperty,nicotine,addict
partof,liver,organ
atlocation,urine,toilet
capableof,cancer,kill
atlocation,food,pantri
causesdesire,food,eat
isa,mammal,anim
atlocation,food,restaur
atlocation,blood,person
hasproperty,food,good
capableof,hair,fall
isa,flu,viru
hasproperty,blood,red
capableof,animal,eat
isa,food,fruit
isa,animal,donkey
usedfor,exercise,good health
atlocation,alcohol,hotel
atlocation,medicine,hospit
hasproperty,food,jar
isa,caffeine,stimul
atlocation,skin,bodi
hasproperty,alcohol,addict
isa,mammal,wolf
isa,animal,mole
atlocation,blood,hospit
isa,brain,organ
isa,eye,organ
atlocation,food,plate
atlocation,hair,head
hasproperty,cancer,bad
isa,food,usual
usedfor,exercise,fun
atlocation,food,shelf
usedfor,skin,protect bodi
atlocation,blood,vein
isa,animal,live
isa,blood,bodili fluid
partof,lung,bodi
partof,blood,bodi
partof,heart,organ
atlocation,dna,cell
hasproperty,vitamin c,good
atlocation,alcohol,wineri
atlocation,alcohol,groceri store
atlocation,alcohol,hous
isa,exercise,activ
isa,food,often
atlocation,bacteria,water
isa,dna,complex molecul
atlocation,food,contain
motivatedbygoal,exercise,stay fit
hasproperty,blood,liquid
isa,hemoglobin,chemic
causes,cancer,death
isa,food,substanc
hasproperty,skin,flexibl
isa,foot,part leg
hasproperty,cocaine,illeg
madeof,food,carbon
capableof,animal,drink
partof,organ,bodi
isa,animal,organ
isa,bacteria,organ
causesdesire,alcohol,danc
isa,neuron,cell
isa,schizophrenia,diseas
atlocation,hair,arm
hasproperty,food,edibl
partof,memory,comput
partof,pain,life
hasproperty,hair,mammal
hasproperty,radiation,bad
atlocation,alcohol,cabinet
hasproperty,schizophrenia,bad
atlocation,food,wineri
atlocation,alcohol,home
atlocation,skin,fruit
hasproperty,cocaine,addict
capableof,animal,live long
atlocation,disinfectant,hospit
atlocation,food,fair
atlocation,community,church
isa,alcohol,liquid
hasproperty,pain,bad
isa,alcohol,fuel
atlocation,food,hous
atlocation,medicine,cabinet
capableof,alcohol,burn
hasproperty,food,unhealthi
atlocation,food,school
atlocation,bacteria,finger
isa,bacteria,everywher
isa,muscle,tissu
isa,alcohol,depress
isa,hemoglobin,complex molecul
isa,potassium,element
isa,bone,meat
isa,muscle,meat
atlocation,hair,finger
capableof,alcohol,cloud mind
hasproperty,depression,depress
isa,cocaine,chemic
atlocation,food,mouth
isa,insulin,hormon
hasproperty,alcohol,prohibit
isa,cancer,ill
atlocation,food,backpack
causesdesire,alcohol,becom inebri
atlocation,radiation,space
hasproperty,high blood pressure,bad
isa,alcohol,sed pain-kil
isa,nicotine,stimul
isa,liver,intern organ
isa,urine,bodili fluid
hasproperty,disease,ill
causesdesire,depression,drink
atlocation,tooth,citi
atlocation,food,farm
usedfor,energy,move
atlocation,energy,food
partof,nucleus,oxygen
partof,food,life
partof,bone,foot
isa,mammal,mole
partof,foot,skin
partof,animal,wolf
isa,flu,diseas
atlocation,tissue,toilet
isa,joint,fun
madeof,food,meat
madeof,skin,cell
isa,nicotine,drug
isa,cocaine,drug
atlocation,blood,anim
partof,tissue,organ
usedfor,food,fight
atlocation,hair,skin
atlocation,bacteria,petri dish
atlocation,bacteria,skin
capableof,medicine,liquid
hasproperty,food,essenti life
receivesaction,skin,burn
hasproperty,food,necessari life
hasproperty,exercise,import health
hasproperty,caffeine,addict
isa,medicine,often
usedfor,hair,fur
atlocation,food,hotel
atlocation,food,build
atlocation,food,closet
atlocation,food,citi
atlocation,muscle,citi
atlocation,muscle,restaur
atlocation,muscle,hous
hasproperty,depression,bad
atlocation,vitamin c,store
hasproperty,energy,use
atlocation,vitamin c,cabinet
atlocation,caffeine,restaur
hasproperty,disease,danger
atlocation,bone,beach
atlocation,bone,restaur
usedfor,bone,play
atlocation,alcohol,beach
atlocation,bone,store
atlocation,alcohol,build
atlocation,bone,restur
atlocation,alcohol,state park
atlocation,alcohol,refriger
isa,alcohol,drink
atlocation,bone,mall
atlocation,bone,dinner
usedfor,bone,eat
atlocation,bone,boat
atlocation,bone,home
atlocation,alcohol,shelf
atlocation,bone,citi
atlocation,bone,church
atlocation,bone,hous
atlocation,bone,ground
atlocation,bone,school
atlocation,alcohol,hospit
atlocation,bone,groceri store
usedfor,bone,decor
atlocation,alcohol,cupboard
isa,bone,activ
atlocation,alcohol,pantri
hasproperty,alcohol,fun
hasproperty,mammal,fun
atlocation,mammal,zoo
hasproperty,schizophrenia,pain
atlocation,medicine,doctor
atlocation,food,friend' wed
causesdesire,high blood pressure,lose weight
isa,morphine,sed pain-kil
usedfor,hair,protect bodi
receivesaction,protein,requir good health
